link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
27816,12156,12157,,1,7,1,1800,60,,1,,"LINESTRING (-112.1001573 33.6400028, -112.1000818 33.6400033)",,22,21,1,0,
28014,12156,12356,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1001573 33.6400028, -112.1000815 33.6399717)",,22,21,2,0,
28213,12157,11959,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1000818 33.6400033, -112.1000067 33.6400354)",,22,21,2,0,
27817,12157,12158,,1,7,1,1800,60,,1,,"LINESTRING (-112.1000818 33.6400033, -112.1000064 33.6400038)",,22,21,1,0,
28015,12157,12357,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1000818 33.6400033, -112.1000061 33.6399723)",,22,21,2,0,
28214,12158,11960,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1000064 33.6400038, -112.0999312 33.6400359)",,22,21,2,0,
27818,12158,12159,,1,7,1,1800,60,,1,,"LINESTRING (-112.1000064 33.6400038, -112.0999309 33.6400044)",,22,21,1,0,
28016,12158,12358,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1000064 33.6400038, -112.0999306 33.6399728)",,22,21,2,0,
28215,12159,11961,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0999309 33.6400044, -112.0998558 33.6400364)",,22,21,2,0,
27819,12159,12160,,1,7,1,1800,60,,1,,"LINESTRING (-112.0999309 33.6400044, -112.0998554 33.6400049)",,22,21,1,0,
28017,12159,12359,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0999309 33.6400044, -112.0998551 33.6399733)",,22,21,2,0,
28216,12160,11962,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0998554 33.6400049, -112.0997803 33.6400370)",,22,21,2,0,
27820,12160,12161,,1,7,1,1800,60,,1,,"LINESTRING (-112.0998554 33.6400049, -112.0997800 33.6400054)",,22,21,1,0,
